dataset,noise,detector,quality,seed,B,estimator,auc_global,auc_primary,delta_point,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_entirely_above_chance,ci_entirely_below_chance,n_valid_bootstrap,n_failed_overlap,coverage_primary,coverage_bootstrap_mean,n_pairs_primary,n_pairs_bootstrap_mean,common_support_lo,common_support_hi,caliper_point,eligible_global_above_chance
cifar100,symmetric0.2,neighbor,dino_density,3,1000,pipeline_primary_matching_rule,0.8337556653829793,0.8286622965390812,0.005093368843898105,0.8067766939023691,0.8375415896397196,-0.0008388204461872181,0.012625171993333358,True,False,1000,0,0.8051601423487544,0.9927283333333333,36002,5946.085,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
cifar100,symmetric0.2,confident_learning,dino_density,3,1000,pipeline_primary_matching_rule,0.820005560745299,0.8157463474251431,0.004259213320155886,0.8113739590590889,0.840282604310887,-0.009303063598973687,0.008215593692662428,True,False,1000,0,0.8051601423487544,0.9922841666666666,36002,5943.475,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
cifar100,symmetric0.2,combined,dino_density,0,1000,pipeline_primary_matching_rule,0.7029773916091523,0.6905930980914337,0.012384293517718636,0.6667704446548962,0.701160234979107,0.004180909704491678,0.026626047399687443,True,False,1000,0,0.8113946720394001,0.9936483333333334,36048,5951.156,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,ema_loss,dino_density,0,1000,pipeline_primary_matching_rule,0.8058899920451538,0.8006685530403905,0.00522143900476324,0.7874071746403881,0.8171168265504751,-0.004555729119153612,0.014801090784334997,True,False,1000,0,0.8113946720394001,0.9939041666666667,36048,5952.33,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,confidence,dino_density,0,1000,pipeline_primary_matching_rule,0.7381262213092379,0.7350338437638704,0.0030923775453675084,0.7233712582263169,0.758197599109166,-0.005509932408876592,0.014833581573385539,True,False,1000,0,0.8113946720394001,0.9936675,36048,5950.555,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,aum,dino_density,0,1000,pipeline_primary_matching_rule,0.7105252082373024,0.7398746116289392,-0.02934940339163683,0.7164158384541429,0.7501712624814736,-0.041252216769159564,-0.015947023109576828,True,False,1000,0,0.8113946720394001,0.9936400000000001,36048,5950.733,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,neighbor,dino_density,0,1000,pipeline_primary_matching_rule,0.8412673517946992,0.8363015978695074,0.004965753925191829,0.817867803277819,0.846479918888512,-0.002302545317404399,0.01097688916565403,True,False,1000,0,0.8113946720394001,0.9938575,36048,5952.228,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,confident_learning,dino_density,0,1000,pipeline_primary_matching_rule,0.8229715747232603,0.8172991566799823,0.005672418043278005,0.8021065230566619,0.8312969706475672,-0.008373911144105657,0.010228779181174229,True,False,1000,0,0.8113946720394001,0.9936500000000001,36048,5950.721,0.006858310250571219,0.9754967073890641,0.015694725499472855,True
cifar100,symmetric0.2,combined,dino_density,6,1000,pipeline_primary_matching_rule,0.6938416488331146,0.681725930662515,0.012115718170599643,0.6611994310998736,0.6990507804513818,0.0020646750685456854,0.02588191378401128,True,False,1000,0,0.8015503875968992,0.9889375,35969,5921.095,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
cifar100,symmetric0.2,ema_loss,dino_density,6,1000,pipeline_primary_matching_rule,0.8019663165225358,0.7978676082181879,0.004098708304347887,0.7774024499951193,0.8071533468461624,-0.0045131003166753465,0.014484489443347145,True,False,1000,0,0.8015503875968992,0.9890991666666666,35969,5921.823,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
